slide_id,low_count,high_count,edges,low_with_child_count,low_child_count_mean,low_child_count_median,high_with_parent_count,unmapped_high_count,high_parent_coverage,low_child_coverage,padding_low_gt50_count,padding_high_gt50_count
2469110-B3,189,2706,5702,189,30.16931216931217,33.0,2694,12,0.9955654101995566,1.0,0,0
2469230-B,319,4468,9207,319,28.862068965517242,33.0,4418,50,0.9888093106535363,1.0,0,0
2469256-B2,195,2709,5235,195,26.846153846153847,28.0,2629,80,0.9704688076781101,1.0,0,0
2469260-B3,201,3062,6124,201,30.46766169154229,34.0,2992,70,0.977139124755062,1.0,0,0
2469496-B,264,3630,7171,264,27.16287878787879,30.0,3514,116,0.9680440771349862,1.0,0,0
2469505-B2,252,3503,3922,252,15.563492063492063,16.0,3218,285,0.9186411647159578,1.0,0,0
2469515-B2,83,1046,2088,83,25.156626506024097,27.0,1021,25,0.9760994263862333,1.0,0,0
2469569-B2,67,877,1057,67,15.776119402985074,18.0,852,25,0.9714937286202965,1.0,0,0
2469661-B,94,1184,2074,94,22.06382978723404,21.0,1092,92,0.9222972972972973,1.0,0,0
2469693-B,340,4975,9884,340,29.070588235294117,33.0,4867,108,0.9782914572864322,1.0,0,0
2469849-B2,178,2512,3959,178,22.241573033707866,23.5,2371,141,0.9438694267515924,1.0,0,0
2469916-B2,225,2967,5751,225,25.56,26.0,2877,90,0.9696663296258847,1.0,0,0
2469927-B2,196,2593,5131,196,26.178571428571427,27.5,2518,75,0.9710759737755496,1.0,0,0
2469963-B2,275,4073,8162,275,29.68,32.0,3961,112,0.9725018413945494,1.0,0,0
2469965-B2,302,4290,8958,302,29.662251655629138,33.0,4243,47,0.9890442890442891,1.0,0,0
2469969-B2,176,2451,4760,176,27.045454545454547,28.5,2360,91,0.9628722970216238,1.0,0,0
2470260-B,287,4280,8940,287,31.149825783972126,36.0,4209,71,0.983411214953271,1.0,0,0
2470270-B2,176,2510,5267,176,29.926136363636363,33.0,2482,28,0.9888446215139443,1.0,0,0
2470405-B2,253,3708,6432,253,25.42292490118577,29.0,3607,101,0.9727615965480043,1.0,0,0
2470647-B2,318,4267,8563,318,26.927672955974842,28.0,4200,67,0.9842981017108039,1.0,2,0
