slide_id,low_count,high_count,low_with_child_count,low_with_child_ratio,low_no_child_count,low_child_count_mean,low_child_count_median,low_child_count_min,low_child_count_max,low_16_child_count,low_16_child_ratio,high_with_parent_count,high_with_parent_ratio,high_no_parent_count,high_multi_parent_count,high_parent_count_max,high_center_inside_total,high_fully_inside_total,high_overlap_total,low_w,low_h,high_w,high_h,fov_ratio_x,fov_ratio_y
25027131B2,315,4565,315,1.0,0,17.2,20.0,3,20,16,0.050793650793650794,4411,0.9662650602409638,154,1002,4,4364,4363,5418,4096.1877348977905,4096.0,1024.0,1024.0,4.0001833348611235,4.0
25027181B2,135,1769,135,1.0,0,25.348148148148148,27.0,8,36,5,0.037037037037037035,1737,0.9819106840022611,32,1094,4,1613,1608,3422,4096.069707283867,4096.513213049025,1024.0174268209666,1024.0349886104784,4.0,4.000364497904137
25027181B3,185,2519,185,1.0,0,23.518918918918917,26.0,5,30,7,0.03783783783783784,2446,0.9710202461294164,73,1395,4,2392,2392,4351,4096.3962848297215,4096.613173652695,1024.0270175191727,1024.0,4.000281452293836,4.00059880239521
25027181B4,406,6197,406,1.0,0,21.866995073891626,24.0,5,24,5,0.012315270935960592,6074,0.9801516862998225,123,2804,2,5976,5976,8878,4096.0,4096.513213049025,1024.0,1024.0349886104784,4.0,4.000364497904137
25027181B5,316,4677,316,1.0,0,21.14873417721519,24.0,4,24,9,0.028481012658227847,4608,0.9852469531751122,69,2075,2,4524,4524,6683,4096.0,4096.093515981735,1024.0,1024.0233789954339,4.0,4.0
25027181B6,145,2130,145,1.0,0,29.924137931034483,32.0,11,36,1,0.006896551724137931,2116,0.9934272300469483,14,1417,4,2020,2020,4339,4096.3962848297215,4096.158024691358,1024.0270175191727,1024.0395061728395,4.000281452293836,4.0
25027193B,295,4317,295,1.0,0,30.65084745762712,36.0,7,36,6,0.020338983050847456,4266,0.9881862404447533,51,2976,4,4122,4122,9042,4096.27269499349,4096.513213049025,1024.007574412687,1024.0349886104784,4.000236714404072,4.000364497904137
2490980B,394,5912,394,1.0,0,31.20812182741117,36.0,8,36,4,0.01015228426395939,5828,0.9857916102841678,84,4035,4,5607,5607,12296,4096.027115771634,4096.338177014531,1024.0067789429086,1024.0362315421994,4.0,4.000188714851858
2491552B,117,1488,117,1.0,0,17.427350427350426,19.0,2,27,5,0.042735042735042736,1351,0.9079301075268817,137,546,5,1366,1329,2039,4096.134365568823,4096.613173652695,1024.0,1024.0,4.000131216375804,4.00059880239521
2491579B,269,3882,269,1.0,0,29.490706319702603,33.0,4,36,6,0.022304832713754646,3800,0.9788768675940237,82,2595,4,3671,3657,7933,4096.23804111995,4096.528161749536,1024.0066119117723,1024.0264053635894,4.0002066329166235,4.000412626366825
