slide_id,scale,patch_count,padding_bucket,count,fraction
25015234B2,20x,2869,<=5%,2869,1.0
25015408B3,5x,149,<=5%,149,1.0
25015408B3,20x,2090,<=5%,2090,1.0
25015422B,5x,168,<=5%,168,1.0
25015422B,20x,2324,<=5%,2324,1.0
25015425B2,5x,329,<=5%,329,1.0
25015425B2,20x,4334,<=5%,4334,1.0
25015488B2,5x,183,<=5%,183,1.0
25015488B2,20x,2604,<=5%,2604,1.0
25015495B3,5x,144,<=5%,144,1.0
25015495B3,20x,2146,<=5%,2146,1.0
25015495B4,5x,219,<=5%,219,1.0
25015495B4,20x,3259,<=5%,3259,1.0
25015607B2,5x,185,<=5%,185,1.0
25015607B2,20x,2657,<=5%,2657,1.0
25015622B2,5x,289,<=5%,289,1.0
25015622B2,20x,3802,<=5%,3802,1.0
25015625B2,5x,199,<=5%,199,1.0
25015625B2,20x,2904,<=5%,2904,1.0
25015811B3,5x,114,<=5%,114,1.0
25015811B3,20x,1417,<=5%,1417,1.0
25015811B4,5x,278,<=5%,277,0.9964028776978417
25015811B4,5x,278,10-25%,1,0.0035971223021582736
25015811B4,20x,3983,<=5%,3982,0.9997489329651017
25015811B4,20x,3983,25-50%,1,0.00025106703489831785
25015820B,5x,300,<=5%,300,1.0
25015820B,20x,4362,<=5%,4362,1.0
25015863B2,5x,363,<=5%,363,1.0
25015863B2,20x,5419,<=5%,5408,0.9979701051854586
25015863B2,20x,5419,25-50%,11,0.002029894814541428
25015870B3,5x,180,<=5%,180,1.0
25015870B3,20x,2419,<=5%,2419,1.0
25016077B2,5x,127,<=5%,127,1.0
25016077B2,20x,1776,<=5%,1776,1.0
25016088B2,5x,228,<=5%,228,1.0
25016088B2,20x,3359,<=5%,3359,1.0
25016772B2,5x,345,<=5%,345,1.0
25016772B2,20x,4967,<=5%,4967,1.0
25016785B2,5x,420,<=5%,420,1.0
25016785B2,20x,6163,<=5%,6163,1.0
25016801B2,5x,370,<=5%,370,1.0
25016801B2,20x,5448,<=5%,5448,1.0
25016829B2,5x,201,<=5%,201,1.0
25016829B2,20x,2897,<=5%,2897,1.0
25016903B4,5x,274,<=5%,274,1.0
25016903B4,20x,3930,<=5%,3930,1.0
25016905B4,5x,165,<=5%,165,1.0
25016905B4,20x,2378,<=5%,2378,1.0
25016915B2,5x,193,<=5%,193,1.0
25016915B2,20x,2497,<=5%,2497,1.0
25016926B2,5x,292,<=5%,292,1.0
25016926B2,20x,4024,<=5%,4024,1.0
25017089B2,5x,308,<=5%,308,1.0
25017089B2,20x,4519,<=5%,4519,1.0
25017211B2,5x,264,<=5%,264,1.0
25017211B2,20x,3869,<=5%,3869,1.0
25017218B3,5x,157,<=5%,157,1.0
25017218B3,20x,1970,<=5%,1970,1.0
25017220B2,5x,259,<=5%,259,1.0
25017220B2,20x,3397,<=5%,3397,1.0
25017227B2,5x,314,<=5%,314,1.0
25017227B2,20x,4567,<=5%,4567,1.0
25017242B2,5x,279,<=5%,279,1.0
25017242B2,20x,4033,<=5%,4033,1.0
25017320B2,5x,283,<=5%,283,1.0
25017320B2,20x,4129,<=5%,4125,0.9990312424315815
25017320B2,20x,4129,10-25%,3,0.0007265681763138775
25017320B2,20x,4129,25-50%,1,0.0002421893921046258
25017322B2,5x,333,<=5%,333,1.0
25017322B2,20x,4954,<=5%,4954,1.0
25017338B3,5x,309,<=5%,309,1.0
25017338B3,20x,4511,<=5%,4511,1.0
25017341B4,5x,108,<=5%,108,1.0
25017341B4,20x,1485,<=5%,1485,1.0
25017354B5,5x,119,<=5%,119,1.0
25017354B5,20x,1549,<=5%,1549,1.0
25017355B1,5x,321,<=5%,321,1.0
25017355B1,20x,4467,<=5%,4467,1.0
25017372B2,5x,152,<=5%,152,1.0
25017372B2,20x,1867,<=5%,1867,1.0
25017383B2,5x,174,<=5%,174,1.0
25017383B2,20x,2570,<=5%,2570,1.0
25017515B2,5x,412,<=5%,412,1.0
25017515B2,20x,6028,<=5%,6028,1.0
25017518B2,5x,328,<=5%,325,0.9908536585365854
25017518B2,5x,328,25-50%,3,0.009146341463414634
25017518B2,20x,4794,<=5%,4778,0.9966624947851481
25017518B2,20x,4794,10-25%,16,0.003337505214851898
25017538B4,5x,226,<=5%,225,0.995575221238938
25017538B4,5x,226,10-25%,1,0.004424778761061947
25017538B4,20x,3081,<=5%,3081,1.0
25017539B2,5x,275,<=5%,275,1.0
25017539B2,20x,4009,<=5%,4009,1.0
25017539B3,5x,333,<=5%,333,1.0
25017539B3,20x,4823,<=5%,4823,1.0
25017589B6,5x,153,<=5%,153,1.0
25017589B6,20x,2176,<=5%,2176,1.0
25017711B,5x,384,<=5%,384,1.0
25017711B,20x,5679,<=5%,5679,1.0
25017716B2,5x,218,<=5%,218,1.0
25017716B2,20x,3169,<=5%,3169,1.0
25017718B2,5x,214,25-50%,2,0.009345794392523364
25017718B2,5x,214,<=5%,212,0.9906542056074766
25017718B2,20x,3188,<=5%,3169,0.9940401505646174
25017718B2,20x,3188,>50%,4,0.0012547051442910915
25017718B2,20x,3188,10-25%,7,0.00219573400250941
25017718B2,20x,3188,5-10%,5,0.0015683814303638645
25017718B2,20x,3188,25-50%,3,0.0009410288582183187
25017738B2,5x,334,<=5%,334,1.0
25017738B2,20x,4902,<=5%,4902,1.0
25017748B2,5x,192,<=5%,192,1.0
25017748B2,20x,2671,<=5%,2671,1.0
25017767B2,5x,210,<=5%,210,1.0
25017767B2,20x,2984,<=5%,2984,1.0
25017932B2,5x,93,<=5%,93,1.0
25017932B2,20x,1261,<=5%,1261,1.0
25017948B3,5x,288,<=5%,288,1.0
25017948B3,20x,4183,<=5%,4183,1.0
25018002B2,5x,249,<=5%,249,1.0
25018002B2,20x,3688,<=5%,3688,1.0
25018050B2,5x,195,<=5%,195,1.0
25018050B2,20x,2805,<=5%,2805,1.0
25018453B2,5x,168,<=5%,168,1.0
25018453B2,20x,2250,<=5%,2250,1.0
25018457B2,5x,282,<=5%,281,0.9964539007092199
25018457B2,5x,282,10-25%,1,0.0035460992907801418
25018457B2,20x,4148,<=5%,4146,0.9995178399228544
25018457B2,20x,4148,>50%,2,0.00048216007714561236
