slide_id,low_no_child_count,high_no_parent_count,low_count,high_count
25002329B2,0,44,252,3519
25002366B6,0,120,246,3546
25002388B2,0,12,109,1373
25002391B2,0,24,220,3101
25002472B2,0,13,363,5416
25002496B2,0,11,109,1437
25002504B2,0,104,346,5058
25002663B5,0,20,341,5073
25002744B2,0,40,195,2776
25002788B2,0,34,211,3013
25002789B2,0,11,249,3576
25002801B1,0,21,168,2401
25002804B2,0,25,333,4763
25002897B2,0,52,177,2569
25002898B2,0,47,105,1484
25002906B2,0,20,186,2697
25002907B3,0,20,189,2681
25003038B2,0,74,392,5702
25009124B2,0,121,223,3331
25009148B3,0,83,176,2470
25009148B4,0,51,124,1748
25009294B2,0,98,210,3106
25009297B,0,11,344,5102
25009367B2,0,46,252,3738
25009529B2,0,75,170,2464
25009539B3,0,100,222,3086
25009578B4,0,87,287,4092
25009747B,0,101,293,4150
25009756B2,0,125,236,3381
25015064B,0,8,74,1022
2460615-B4,0,36,157,2071
2460943-B3,0,27,98,1349
2462468-B2,0,194,197,2686
2462609-B2,0,29,61,821
2462939-B,0,26,99,1451
2463367-B2,0,83,301,4380
2476286-B2,0,98,302,4315
2476299-B2,0,9,227,3089
2476693-B3,0,119,220,3003
2477926-B4,0,29,156,2143
2482111-B2,0,35,424,6180
2482883-B2,0,139,390,5651
2483073-B3,0,54,231,3203
2483850-B2,0,52,163,2419
2484660-B2,0,6,201,2946
2484791-B2,0,122,206,2771
2484862-B3,0,70,236,3317
2485164-B2,0,81,146,2004
2485276-B3,0,150,147,1711
2485473-B2,0,41,263,3743
2485536-B2,0,82,192,2655
2485632-B,0,68,149,2029
2486102-B2,0,153,77,984
2487043-B,0,133,109,1513
2487053-B2,0,39,202,2933
2487063-B2,0,50,121,1409
2487518-B,0,61,91,1281
2487567-B2,0,26,103,1480
2488040-B,0,124,256,3714
2488302-B2,0,42,244,3415
2488335-B,1,55,358,5092
2488960-B2,0,57,221,3331
2488987-B2,0,108,262,3617
25012737B4,0,22,122,1619
25013062B2,0,32,99,1277
25013189B4,0,150,119,1672
25013629B6,0,249,375,5266
25013977B2,0,84,340,5069
25014298B2,0,63,83,1181
25014627B3,0,118,147,1862
25015052B3,0,77,280,4110
25015191B2,0,88,201,2780
25015191B3,0,29,149,2172
25015215B2,0,153,145,1991
25015421B3,0,13,302,4479
25015471B,0,119,388,5827
25015496B,0,77,99,1195
25015594B2,0,18,162,2247
25015608B2,0,25,206,2952
25015640B3,0,101,144,1971
25015640B5,0,59,126,1768
25015784B2,0,33,51,658
25015798B2,0,26,36,432
25015867B2,0,123,173,2343
25016027B,0,74,172,2444
25016031B2,0,61,240,3474
25016827B2,0,66,277,3978
25017341B3,0,26,119,1641
25017342B2,0,42,133,1906
25017355B4,0,35,142,1808
25017499B,0,0,42,597
25017500B,0,3,36,489
25017592B3,0,48,97,1178
25017730B2,0,182,153,2270
25017739B2,0,49,281,4162
25017923B,0,41,119,1532
25017930B,0,19,115,1492
25018478B2,0,33,229,3256
25018956B3,0,11,108,1526
25019094B8,0,49,265,3900
25019273B,0,29,379,5410
25019294B1,0,4,35,453
25019294B2,0,0,38,464
25019335B6,0,54,150,1992
25019339B2,0,3,227,3354
25019339B3,0,8,211,3018
25019474B2,0,16,251,3619
25019503B,0,51,109,1589
25019629B2,0,34,166,2187
25019675B2,0,37,172,2526
25019705B2,0,37,276,4073
25020232B,0,89,341,4933
25020353B2,0,51,94,1279
25020556B4,0,89,152,2208
25020714B4,0,37,340,4936
25020799B3,0,70,324,4645
25020799B5,0,124,282,3920
25021196B2,0,22,120,1453
25021277B3,0,69,121,1635
25021277B4,0,51,89,1059
25021421B2,0,91,337,4940
25021487B,0,31,240,3366
25021555B2,0,25,56,654
25021558B2,0,11,79,1047
25021665B2,0,209,167,1990
25021665B3,0,44,242,2896
25021672B,0,29,73,987
25021735B5,0,26,156,2142
25021890B4,0,36,106,1454
25021890B6,0,45,284,3970
25021922B2,0,66,423,6173
25022013B,1,48,169,2339
25022344B2,0,58,419,6174
25022458B2,0,6,327,4696
25022584B2,0,127,210,2946
25022584B3,0,71,80,1145
25022613B2,0,40,115,1531
25023174B2,0,130,120,1416
25023327B3,0,5,38,510
25023687B3,0,46,88,1213
25023687B4,0,52,64,882
25023828B,0,50,256,3791
25023846B4,0,113,211,3119
25023935B2,0,8,130,1863
25023961B2,0,66,49,622
25023972B3,0,100,267,3897
25024254B2,0,286,135,1785
25024433B2,0,42,177,2336
25024695B2,0,10,124,1743
25024765B2,0,27,375,5583
25024855B4,0,54,157,1867
25024875B2,0,26,76,1097
25024982B1,0,25,173,2477
25025076B,0,2,270,3951
25025087B,0,55,170,2204
25025097B,0,56,261,3783
25025291B,0,1,238,3428
25025293B2,0,27,203,2659
25025567B4,0,9,105,1402
25025569B,0,20,51,628
25025616B,0,39,136,1913
25025951B,0,50,265,3887
25025954B3,0,20,40,435
25025975B2,0,40,154,2129
25026103B2,0,28,213,3274
25026144B2,0,57,282,4093
25026144B3,0,46,252,3365
25026285B2,0,39,368,5526
25026294B3,0,52,416,5954
25026499B3,0,74,296,4304
25026509B,0,54,202,2939
25026752B,0,92,148,2142
25026782B3,0,94,205,2791
25026797B2,0,106,76,1002
25027131B2,0,154,315,4565
25027181B2,0,32,135,1769
25027181B3,0,73,185,2519
25027181B4,0,123,406,6197
25027181B5,0,69,316,4677
25027181B6,0,14,145,2130
25027193B,0,51,295,4317
2490980B,0,84,394,5912
2491552B,0,137,117,1488
2491579B,0,82,269,3882
25002379B2,0,12,177,2523
25002510B2,0,159,185,2072
25009557B,0,33,153,2222
25027606B3,0,15,152,2077
25027636B2,0,140,344,4805
25027718B2,0,5,237,3523
25027723B4,0,46,248,3532
25027770B,0,25,218,3071
25028010B2,0,68,144,1946
25028010B2a,0,136,132,1839
25028010B3,0,88,239,3182
25028014B4,0,102,167,2330
25028014B5,0,137,177,2594
25028014B6,0,74,81,1074
25028014B7,0,71,97,1311
25028134B,0,56,290,4196
25028147B3,0,45,138,1958
25028151B2,0,9,178,2445
25028151B3,0,68,283,4005
25028186B2,0,21,286,4181
25028210B2,0,33,133,1784
25028514B,0,15,128,1741
25028520B3,0,24,151,2200
25028738B2,0,104,212,3080
25028862B2,0,97,189,2597
25028868B2,0,7,120,1658
25028879B3,0,30,283,4014
25028885B2,0,10,252,3730
25029134B,0,36,267,3786
25029179B,0,55,355,5002
25029425B2,0,43,281,4198
25029425B3,0,80,243,3572
25029425B,0,171,361,5429
25029560B2,0,26,42,536
25029565B5,0,16,76,975
25029737B2,0,168,239,3259
25029906B2,0,40,264,3730
25030118B2,0,26,134,1723
25030157B3,0,55,93,1256
25030157B4,0,71,214,3100
25030334B2,0,104,228,3202
25030619B2,0,78,255,3387
25030630B,0,103,305,4265
25030750B2,0,30,336,5104
25030988B4,0,50,144,2083
25030998B2,0,59,226,3001
25031267B2,0,12,162,2345
25031271B2,0,94,143,1888
25031281B2,0,9,192,2839
25031302B,0,49,245,3539
25031385B4,0,29,185,2588
25031387B2,0,45,350,5205
25031411B3,0,17,45,537
25031706B,0,36,144,2044
25031706B2,0,95,257,3393
25032143B2,0,52,95,1315
25032143B3,0,0,63,770
25032146B2,0,4,20,241
25032179B3,0,9,47,604
25032245B2,0,54,62,677
25032360B2,0,59,189,2665
25032626B2,0,23,159,2265
25032788B4,0,48,210,2883
25032789B2,0,45,254,3767
25033169B1,0,22,335,4928
25033178B4,0,157,294,4126
25033211B,0,25,217,2931
25033447B4,0,123,75,1054
25033482B2,0,40,101,1345
25033486B,0,62,281,3983
25033894B2,0,74,89,1110
25034245B2,0,39,174,2513
25034327B2,0,127,336,5068
25034929B2,0,121,274,3840
25034940B9,0,34,134,1891
25034940B8,0,15,100,1391
25034940B10,0,16,125,1689
25034940B11,0,34,188,2700
25034940B12,0,45,110,1455
25035354B,0,223,268,3716
25035354B2,0,96,127,1653
25035354B3,0,151,241,3318
25035882B3,0,48,137,1905
25035882B4,0,32,114,1431
25036226B4,0,76,241,3409
25036333B3,0,3,59,697
25036340B1,0,31,101,1318
25036341B,0,4,77,1072
25036634B2,0,120,147,2063
25041732B,0,83,253,3838
25041763B,0,70,337,5032
25042220B2,0,133,356,5216
25042465B3,0,43,197,2919
25042830B2,0,12,157,2308
25043126B2,0,70,84,1222
25043600B3,0,32,102,1399
25044694B,0,16,290,4237
25045403B,0,0,74,945
25045403B-1,0,1,83,1115
25045403B2,0,16,79,1088
25045450B2,0,17,48,576
25045450B5,0,21,186,2587
25045625B3,0,22,154,2225
25045625B1,0,35,153,2202
25045625B2,0,30,232,3377
25045676B4,0,42,245,3477
25045801B2,0,17,136,1735
25045801B1,0,53,109,1546
25045807B4,0,12,50,598
25045829B2,0,31,298,4354
25045839B,0,16,240,3188
25046521B3,0,12,162,2300
25046631B2,0,61,240,3437
25046855B,0,26,228,3144
25047066B,0,153,194,2568
25047067B2,0,16,194,2784
25047077B2,0,28,189,2735
25047088B,0,6,81,1126
25047401B2,0,66,209,2996
